seed,value
136.0,0.0166974395083502
137.0,0.0199786052799102
138.0,0.0172902477631574
139.0,0.0193883663196136
140.0,0.0128847206697911
141.0,0.0155228439195835
142.0,0.0221481890029658
143.0,0.024670795555205
144.0,0.0148083075072402
145.0,0.0137676759807617
146.0,0.022554590386721
147.0,0.0186370062231399
148.0,0.0163347602862419
149.0,0.0151155455163681
150.0,0.0157600878600877
151.0,0.0253146502310787
152.0,0.0143369797362191
153.0,0.0209462068095478
154.0,0.0180982921326393
155.0,0.0172684007973365
156.0,0.0166510434016387
157.0,0.0151042644533683
158.0,0.0154380201472755
159.0,0.0186055703773225
160.0,0.0190094192646409
161.0,0.013809272602886
162.0,0.0177041121866678
163.0,0.0182659772712768
164.0,0.022154849485913
165.0,0.0178153010100832
166.0,0.0134551774377427
167.0,0.0145527297915213
168.0,0.0193411282268534
169.0,0.0127617558380812
170.0,0.0233877388998911
171.0,0.0157119139652521
172.0,0.0181245895128643
173.0,0.0168306957004686
174.0,0.0281547893507663
175.0,0.0153237016377674
176.0,0.0126921461661068
177.0,0.017839421125556
178.0,0.0155212708785832
179.0,0.0145714428591848
180.0,0.0181966307705747
181.0,0.0157369138131938
182.0,0.0167060075659203
183.0,0.0168092252125776
184.0,0.0205782404644159
185.0,0.016861969253543
186.0,0.0225026516353752
187.0,0.0152049438232382
188.0,0.0148554626366918
189.0,0.0143373352448319
190.0,0.0192342319769834
191.0,0.0205544981261068
192.0,0.0178460550030675
193.0,0.0177533938537059
194.0,0.0227319830377987
195.0,0.0255266768811427
196.0,0.0119315762756744
197.0,0.0110563218877991
198.0,0.0238768086344307
199.0,0.0252093422784716
200.0,0.0209561006883498
201.0,0.0182378473763027
202.0,0.0229516508718902
203.0,0.0168914538812568
204.0,0.0145064473726189
205.0,0.0206251781422572
206.0,0.012761103214021
207.0,0.0250787179932763
208.0,0.0209906139461558
209.0,0.0142874930412556
210.0,0.0186744560895186
211.0,0.0165285008099472
212.0,0.0215810800390465
213.0,0.0094859789559666
214.0,0.0177617801574994
215.0,0.0197278093261974
216.0,0.0190632586556013
217.0,0.0159278355681015
218.0,0.0157948205467394
219.0,0.0211033603496156
220.0,0.017013750961682
221.0,0.013447753917091
222.0,0.0179161948505024
223.0,0.0143067292035179
224.0,0.0179759998451122
225.0,0.01696238358901
226.0,0.0119116254468943
227.0,0.0160745684568631
228.0,0.017148183358215
229.0,0.0230665286544491
230.0,0.0176970131266952
231.0,0.0162672373992643
232.0,0.0184495424228204
233.0,0.016985101482855
234.0,0.0174641786199047
235.0,0.0209657809687144
236.0,0.0201614043349646
237.0,0.0160234131979094
238.0,0.014791334460167
239.0,0.0152515046666623
240.0,0.0170418438748348
241.0,0.0183717947493809
242.0,0.0144729204725691
243.0,0.0159931831195269
244.0,0.0183265513106668
245.0,0.0246110545622194
246.0,0.0215477807635133
247.0,0.0253015563289887
248.0,0.0183966371944633
249.0,0.018359544182793
250.0,0.0160537925939945
251.0,0.0216844019788804
252.0,0.0150319662268804
253.0,0.0194431832260215
254.0,0.0173105908507121
255.0,0.0196009692954075
256.0,0.015100544788598
257.0,0.0106395562515622
258.0,0.0233018308967832
259.0,0.0189809838571138
260.0,0.0145635779140691
261.0,0.0136387174172344
262.0,0.0156537963079209
263.0,0.0160943646964557
264.0,0.0091541063663616
265.0,0.0205477250331609
266.0,0.0168735494182767
267.0,0.0249444518112668
268.0,0.018397901482145
269.0,0.0167202719687862
270.0,0.0149658546072294
271.0,0.0157037981910843
272.0,0.0129247497155461
